home_idx,away_idx,margin,home_team,away_team,home_pr,away_pr,home_off,home_def,away_off,away_def
15,13,14.0,MIA,LAL,0.0457870794643961,0.0137511796875004,0.992439,0.954699,1.013651,1.040915
11,5,9.0,IND,CLE,0.0210597726835284,0.0500866440470742,1.010643,1.039967,0.972418,0.953531
27,14,-13.0,TOR,MEM,0.0402042952349722,0.0598898243501919,0.989893,0.969089,1.04365,0.994827
2,12,6.0,BOS,LAC,0.0772253049343108,0.0347824704668889,1.008049,0.944763,0.978238,0.977603
26,19,7.0,SAS,NYK,0.0261337119399451,0.0291673104305282,1.022324,1.022463,0.961948,0.961574
3,20,8.0,CHA,OKC,0.0246902228698749,0.0096898554654642,1.045667,1.04167,0.936351,1.006328
6,10,15.0,DAL,HOU,0.0400431558863304,0.0063633062928196,0.973076,0.945594,0.992851,1.06718
25,28,1.0,SAC,UTA,0.0125988940675179,0.0537611219294618,0.998358,1.046842,1.025165,0.973709
7,15,5.0,DEN,MIA,0.0345402587126149,0.0457870794643961,1.017956,0.998491,0.992439,0.954699
16,17,9.0,MIL,MIN,0.0280730979756421,0.0464363618485504,1.046029,1.016851,1.049302,1.026474
9,24,6.0,GSW,POR,0.0711095215138326,0.0137597696546373,1.001005,0.950809,0.960516,1.037311
18,22,11.0,NOP,PHI,0.0208227100466635,0.035428294317116,0.986774,0.99425,0.994641,0.971781
21,29,-19.0,ORL,WAS,0.0089507342892975,0.0184133026207388,0.942972,1.01223,0.983764,1.013005
4,8,14.0,CHI,DET,0.0255075170500835,0.012590743809682,1.011078,1.014173,0.949618,1.015795
27,23,9.0,TOR,PHX,0.0402042952349722,0.0602335274538521,0.989893,0.969089,1.034706,0.972419
0,13,-9.0,ATL,LAL,0.0543994736103703,0.0137511796875004,1.032039,1.019011,1.013651,1.040915
11,12,1.0,IND,LAC,0.0210597726835284,0.0347824704668889,1.010643,1.039967,0.978238,0.977603
26,6,-1.0,SAS,DAL,0.0261337119399451,0.0400431558863304,1.022324,1.022463,0.973076,0.945594
4,5,-1.0,CHI,CLE,0.0255075170500835,0.0500866440470742,1.011078,1.014173,0.972418,0.953531
28,15,-3.0,UTA,MIA,0.0537611219294618,0.0457870794643961,1.025165,0.973709,0.992439,0.954699
10,19,-20.0,HOU,NYK,0.0063633062928196,0.0291673104305282,0.992851,1.06718,0.961948,0.961574
20,22,-19.0,OKC,PHI,0.0096898554654642,0.035428294317116,0.936351,1.006328,0.994641,0.971781
17,8,-12.0,MIN,DET,0.0464363618485504,0.012590743809682,1.049302,1.026474,0.949618,1.015795
14,18,15.0,MEM,NOP,0.0598898243501919,0.0208227100466635,1.04365,0.994827,0.986774,0.99425
3,1,-17.0,CHA,BKN,0.0246902228698749,0.0245005373461128,1.045667,1.04167,1.024876,1.016646
14,25,10.0,MEM,SAC,0.0598898243501919,0.0125988940675179,1.04365,0.994827,0.998358,1.046842
7,2,12.0,DEN,BOS,0.0345402587126149,0.0772253049343108,1.017956,0.998491,1.008049,0.944763
16,29,-23.0,MIL,WAS,0.0280730979756421,0.0184133026207388,1.046029,1.016851,0.983764,1.013005
9,0,2.0,GSW,ATL,0.0711095215138326,0.0543994736103703,1.001005,0.950809,1.032039,1.019011
10,6,-5.0,HOU,DAL,0.0063633062928196,0.0400431558863304,0.992851,1.06718,0.973076,0.945594
12,15,-10.0,LAC,MIA,0.0347824704668889,0.0457870794643961,0.978238,0.977603,0.992439,0.954699
1,26,30.0,BKN,SAS,0.0245005373461128,0.0261337119399451,1.024876,1.016646,1.022324,1.022463
5,4,11.0,CLE,CHI,0.0500866440470742,0.0255075170500835,0.972418,0.953531,1.011078,1.014173
17,7,13.0,MIN,DEN,0.0464363618485504,0.0345402587126149,1.049302,1.026474,1.017956,0.998491
24,8,29.0,POR,DET,0.0137597696546373,0.012590743809682,0.960516,1.037311,0.949618,1.015795
19,23,19.0,NYK,PHX,0.0291673104305282,0.0602335274538521,0.961948,0.961574,1.034706,0.972419
11,27,8.0,IND,TOR,0.0210597726835284,0.0402042952349722,1.010643,1.039967,0.989893,0.969089
3,13,-6.0,CHA,LAL,0.0246902228698749,0.0137511796875004,1.045667,1.04167,1.013651,1.040915
22,18,9.0,PHI,NOP,0.035428294317116,0.0208227100466635,0.994641,0.971781,0.986774,0.99425
20,2,30.0,OKC,BOS,0.0096898554654642,0.0772253049343108,0.936351,1.006328,1.008049,0.944763
16,29,10.0,MIL,WAS,0.0280730979756421,0.0184133026207388,1.046029,1.016851,0.983764,1.013005
28,25,-2.0,UTA,SAC,0.0537611219294618,0.0125988940675179,1.025165,0.973709,0.998358,1.046842
21,20,11.0,ORL,OKC,0.0089507342892975,0.0096898554654642,0.942972,1.01223,0.936351,1.006328
5,23,2.0,CLE,PHX,0.0500866440470742,0.0602335274538521,0.972418,0.953531,1.034706,0.972419
22,11,3.0,PHI,IND,0.035428294317116,0.0210597726835284,0.994641,0.971781,1.010643,1.039967
13,15,3.0,LAL,MIA,0.0137511796875004,0.0457870794643961,1.013651,1.040915,0.992439,0.954699
9,8,-3.0,GSW,DET,0.0711095215138326,0.012590743809682,1.001005,0.950809,0.949618,1.015795
25,0,-3.0,SAC,ATL,0.0125988940675179,0.0543994736103703,0.998358,1.046842,1.032039,1.019011
17,24,7.0,MIN,POR,0.0464363618485504,0.0137597696546373,1.049302,1.026474,0.960516,1.037311
4,1,9.0,CHI,BKN,0.0255075170500835,0.0245005373461128,1.011078,1.014173,1.024876,1.016646
27,16,-3.0,TOR,MIL,0.0402042952349722,0.0280730979756421,0.989893,0.969089,1.046029,1.016851
18,10,11.0,NOP,HOU,0.0208227100466635,0.0063633062928196,0.986774,0.99425,0.992851,1.06718
3,14,-24.0,CHA,MEM,0.0246902228698749,0.0598898243501919,1.045667,1.04167,1.04365,0.994827
